ID director
0 "徐景达 Jingda Xu"
1 "刘镇伟 Jeffrey Lau"
2 "詹姆斯·卡梅隆 James Cameron"
3 "盖·里奇 Guy Ritchie"
4 "韦斯·安德森 Wes Anderson"
5 "黑泽明 Akira Kurosawa"
6 "大森贵弘 Takahiro Omori"
7 "周申 Shen Zhou"
8 "古屋胜悟 Furuya Shougo"
9 "拜伦·霍华德 Byron Howard"
10 "理查德·柯蒂斯 Richard Curtis"
11 "乔·赖特 Joe Wright"
12 "郭柯 Ke Guo"
13 "阿米尔·汗 Aamir Khan"
14 "彼得·威尔 Peter Weir"
15 "泷田洋二郎 Yôjirô Takita"
16 "山姆·伍德 Sam Wood"
17 "刘露 Lu Liu"
18 "吉恩·凯利 Gene Kelly"
19 "汉内斯·赫尔姆 Hannes Holm"
20 "罗启锐 Alex Law"
21 "约翰·卡尼 John Carney"
22 "陆川 Chuan Lu"
23 "罗伯特·怀斯 Robert Wise"
24 "阿斯哈·法哈蒂 Asghar Farhadi"
25 "忻钰坤 Yukun Xin"
26 "罗纳尔多·德尔·卡门 Ronaldo Del Carmen"
27 "近藤喜文 Yoshifumi Kondo"
28 "罗伯·莱纳 Rob Reiner"
29 "皮埃尔·柯芬 Pierre Coffin"
30 "黄信尧 Hsin-yao Huang"
31 "拉吉库马尔·希拉尼 Rajkumar Hirani"
32 "李力持 Lik-Chi Lee"
33 "蒂姆·波顿 Tim Burton"
34 "温子仁 James Wan"
35 "J·麦基·格鲁伯 J. Mackye Gruber"
36 "丹尼斯·甘塞尔 Dennis Gansel"
37 "吴宇森 John Woo"
38 "罗伯托·贝尼尼 Roberto Benigni"
39 "米洛斯·福尔曼 Miloš Forman"
40 "让-皮埃尔·热内 Jean-Pierre Jeunet"
41 "让-马克·瓦雷 Jean-Marc Vallée"
42 "奥利维埃·纳卡什 Olivier Nakache"
43 "克里斯·哥伦布 Chris Columbus"
44 "詹姆斯·沃德·布柯特 James Ward Byrkit"
45 "托尼·凯耶 Tony Kaye"
46 "华森·波克彭 Wasin pokpong"
47 "克里斯·桑德斯 Chris Sanders"
48 "埃里克·布雷斯 Eric Bress"
49 "马丁·布莱斯特 Martin Brest"
50 "杰拉德·布什 Jared Bush"
51 "麦兆辉 Alan Mak"
52 "严定宪 Dingxian Yan "
53 "埃里克·托莱达诺 Eric Toledano"
54 "卡洛斯·沙尔丹哈 Carlos Saldanha"
55 "杨宇硕 Woo-seok Yang"
56 "路易·西霍尤斯 Louie Psihoyos"
57 "奉俊昊 Joon-ho Bong"
58 "费尔南多·梅里尔斯 Fernando Meirelles"
59 "詹姆斯·曼高德 James Mangold"
60 "莫滕·泰杜姆 Morten Tyldum"
61 "大卫·芬奇 David Fincher"
62 "格斯·范·桑特 Gus Van Sant"
63 "卡比尔·汗 Kabir Khan"
64 "史蒂芬·戴德利 Stephen Daldry"
65 "理查德·林克莱特 Richard Linklater"
66 "昆汀·塔伦蒂诺 Quentin Tarantino"
67 "唐澄 Cheng  Tang "
68 "朴勋政 Hoon-jung Park"
69 "李濬益 Jun-ik Lee"
70 "娜丁·拉巴基 Nadine Labaki"
71 "李安 Ang Lee"
72 "黄东赫 Dong-hyuk Hwang"
73 "乔治·库克 George Cukor"
74 "马基德·马基迪 Majid Majidi"
75 "姜炯哲 Hyeong-Cheol Kang"
76 "陈可辛 Peter Chan"
77 "达米安·斯兹弗隆 Damián Szifron"
78 "斯蒂芬·卓博斯基 Stephen Chbosky"
79 "斯坦利·多南 Stanley Donen"
80 "克里斯·雷纳德 Chris Renaud"
81 "贝纳尔多·贝托鲁奇 Bernardo Bertolucci"
82 "刘伟强 Andrew Lau"
83 "邓肯·琼斯 Duncan Jones"
84 "安德鲁·尼科尔 Andrew Niccol"
85 "尼克·卡萨维蒂 Nick Cassavetes"
86 "克里斯托弗·史密斯 Christopher Smith"
87 "比利·怀德 Billy Wilder"
88 "李焕庆 Hwan-kyeong Lee"
89 "瑞奇·摩尔 Rich Moore"
90 "中岛哲也 Tetsuya Nakashima"
91 "杨德昌 Edward Yang"
92 "宫崎骏 Hayao Miyazaki"
93 "鲍勃·彼德森 Bob Peterson"
94 "拉娜·沃卓斯基 Lana Wachowski"
95 "周星驰 Stephen Chow"
96 "阿兰·葛斯彭纳 Alain Gsponer"
97 "普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn"
98 "刘风 Feng Liu"
99 "克里斯·韦奇 Chris Wedge"
100 "迈克·内威尔 Mike Newell"
101 "克里斯托弗·诺兰 Christopher Nolan"
102 "克里斯托夫·巴拉蒂 Christophe Barratier"
103 "钱运达 Yunda Qian"
104 "爱德华·兹威克 Edward Zwick"
105 "伏原健之 Kenshi Fushihara"
106 "拉斯·霍尔斯道姆 Lasse Hallström"
107 "藤森雅也 Masaya Fujimori"
108 "唐·霍尔 Don Hall"
109 "王家卫 Kar Wai Wong"
110 "保罗·杰诺维塞 Paolo Genovese"
111 "朱塞佩·托纳多雷 Giuseppe Tornatore"
112 "汤姆·提克威 Tom Tykwer"
113 "王树忱 Shuchen Wang"
114 "斯坦利·库布里克 Stanley Kubrick"
115 "大卫·斯沃曼 David Silverman"
116 "阿方索·卡隆 Alfonso Cuarón"
117 "柯克·德·米科 Kirk De Micco"
118 "是枝裕和 Hirokazu Koreeda"
119 "张欣 Xin Zhang"
120 "弗兰克·德拉邦特 Frank Darabont"
121 "涅提·蒂瓦里 Nitesh Tiwari"
122 "肯尼思·洛纳根 Kenneth Lonergan"
123 "大卫·叶茨 David Yates"
124 "达米恩·查泽雷 Damien Chazelle"
125 "李·昂克里奇 Lee Unkrich"
126 "朗·霍华德 Ron Howard"
127 "托马斯·温特伯格 Thomas Vinterberg"
128 "雅克·克鲁奥德 Jacques Cluzaud"
129 "莉莉·沃卓斯基 Lilly Wachowski"
130 "威廉·惠勒 William Wyler"
131 "克林特·伊斯特伍德 Clint Eastwood"
132 "今敏 Satoshi Kon"
133 "保罗·格林格拉斯 Paul Greengrass"
134 "李惠民 Raymond Lee"
135 "加布里埃莱·穆奇诺 Gabriele Muccino"
136 "苏秀 Xiu Su"
137 "特瑞·乔治 Terry George"
138 "达伦·阿伦诺夫斯基 Darren Aronofsky"
139 "汤姆·麦卡锡 Tom McCarthy"
140 "卢卡·瓜达尼诺 Luca Guadagnino"
141 "张艺谋 Yimou Zhang"
142 "雷德利·斯科特 Ridley Scott"
143 "宁浩 Hao Ning"
144 "杰茜·尼尔森 Jessie Nelson"
145 "阿尼什·查甘蒂 Aneesh Chaganty"
146 "梅尔·吉布森 Mel Gibson"
147 "布莱恩·辛格 Bryan Singer"
148 "乔纳森·戴米 Jonathan Demme"
149 "孙昌敏 Chang-min Son"
150 "戈尔·维宾斯基 Gore Verbinski"
151 "罗伯·明可夫 Rob Minkoff"
152 "秋昌旼 Chang-min Choo"
153 "罗曼·波兰斯基 Roman Polanski"
154 "延尚昊 Sang-ho Yeon"
155 "岩井俊二 Shunji Iwai"
156 "阿尔弗雷德·希区柯克 Alfred Hitchcock"
157 "金秉祐 Byeong-woo Kim"
158 "克里斯·威廉姆斯 Chris Williams"
159 "西德尼·吕美特 Sidney Lumet"
160 "赛尔乔·莱昂内 Sergio Leone"
161 "马丁·斯科塞斯 Martin Scorsese"
162 "亚当·艾略特 Adam Elliot"
163 "彼特·道格特 Pete Docter"
164 "道格·里曼 Doug Liman"
165 "M·奈特·沙马兰 M. Night Shyamalan"
166 "徐克 Hark Tsui"
167 "王晶 Jing Wong"
168 "阿德里安·莫利纳 Adrian Molina"
169 "弗朗西斯·福特·科波拉 Francis Ford Coppola"
170 "吕克·贝松 Luc Besson"
171 "北野武 Takeshi Kitano"
172 "伦尼·阿伯拉罕森 Lenny Abrahamson"
173 "巴瑞·莱文森 Barry Levinson"
174 "罗杰·阿勒斯 Roger Allers"
175 "洛芙琳·坦丹 Loveleen Tandan"
176 "茂文·勒鲁瓦 Mervyn LeRoy"
177 "热拉尔·乌里 Gérard Oury"
178 "罗伯特·泽米吉斯 Robert Zemeckis"
179 "新海诚 Makoto Shinkai"
180 "查理·卓别林 Charles Chaplin"
181 "奥里奥尔·保罗 Oriol Paulo"
182 "陈凯歌 Kaige Chen"
183 "维克多·弗莱明 Victor Fleming"
184 "程小东 Siu-Tung Ching"
185 "安德鲁·斯坦顿 Andrew Stanton"
186 "迪恩·德布洛斯 Dean DeBlois"
187 "神山征二郎 Seijirô Kôyama"
188 "马克·赫尔曼 Mark Herman"
189 "乔治·米勒 George Miller"
190 "细田守 Mamoru Hosoda"
191 "马丁·麦克唐纳 Martin McDonagh"
192 "小津安二郎 Yasujirô Ozu"
193 "卡迪亚·兰德 Kátia Lund"
194 "丹尼·博伊尔 Danny Boyle"
195 "米林宏昌 Hiromasa Yonebayashi"
196 "万籁鸣 Laiming Wan"
197 "高畑勋 Isao Takahata"
198 "森淳一 Junichi Mori"
199 "史蒂文·斯皮尔伯格 Steven Spielberg"
200 "彼得·杰克逊 Peter Jackson"
201 "彼得·法雷里 Peter Farrelly"
202 "姜文 Wen Jiang"
203 "雅克·贝汉 Jacques Perrin"
204 "伍经纬 Jingwei Wu"
205 "文牧野 Muye Wen"
206 "弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck"
